productID;ItemCode;Item;CatID;CatCode;Description;longdescription;PictureThumb;PictureLarge;StatusCode;WarrantyCode;taxable;Weight;Brand;datasheet;sortby;shippingc;picturefeature;showmp;sssort_it
0;BNA30B32U;10/100 Mpbs Lan Card ADMTEK;59;23;32-bit PCI 10/100 Card ADMtek,  AN983B Chipset, Without Bios Socket;"* Best power consumption, ACPI compliance<br>
* One RJ-45 for 10/100Mbps operation<br>
* 32-Bit data transfer with bus master for PCI interface<br>
* SMT manufacturing and strict quality assurance test to assurance high<br> performance and reliability<br>
* Automatic polarity detection and correction for UTP<br>
* Support Advance Configuration and Power Interface (ACPI) Specification<br>
*  Support PCI Power Management Specification<br>";pimages/BNA30B32-S.gif;pimages/BNA30B32U.jpg;S008;W008;No;0.2;BayLan;pimages/undershipment.gif;99;Yes;pimages/BNA30B32-F.jpg;Yes;4
1;BIR10032UR2;IP Sharing Server;59;33;IP Sharing Server + 2Port WAN + Remote Access Service;" * Support TCP/IP and PPP protocols<br>
 * Supports Network Address Translation (NAT)<BR>
 * Supports Windows 9X/NT/2000,Mac OS and UNIX<BR>
 * Support 14.4k~56Kbps external modems<br>
 * Supports ISDN TAs<br>
 * Supports Leased line connections<br>
 * Supports VPN (pass through)
 * Supports Bandwidth on Demand<br>
 * Supports Dial on Demand<br>
 * Supports Remote Access Service (RAS)<BR>
 * Supports Telnet, Console Port, and Remote configuration<br>
 * Windows-based configuration program<br>
 * Built-in 2 WAN (RS-232) ports<br>
 * Built-in 1 LAN (UTP) port<br>
 * Built-in DHCP server<br>
 * Unlimited simultaneous user access<br>
 * Software upgradable<br> ";pimages/bir10032ur2thum.jpg;pimages/BIR10032UR2.jpg;S008;W005;No;0;BayLan;;99;Yes;pimages/BIR10032UR2-F.jpg;No;1
2;BNR30D32U;10/100 Mbps Lan Card;59;23;"32-bit PCI 10/100 Card Realtek,  RTL8139D Chipset, Without Bios Socket 
";"* Complies with IEEE802.3u Standard<br>
* 32-bit BUS Master<br>
* Support full-duplex & flow control (IEEE802.3X)<BR>
* Support Auto-negotiation<br>
* 10/100Mbps Auto-sense speeds to the attached Hub<br>
*Single RJ-45 connector supports 10Base-T and 100Base-TX operation<br>
* PCI System complies to PCI Spec 2.0/2.1<br>
* Hardware interrupt:PCI interrupt A<br>
* 2 LEDsfor monitoring operation status<br>
* Optional:wake-on-lan<br>
* FCC CLASS A, CE<BR> ";pimages/bnr30d32uthum.gif;;S008;W008;No;0.2;BayLan;;99;Yes;;Yes;1
3;BNR10A31UB;PCI Card;59;23;32-bit PCI 10/20 Card (BNC+UTP) RTL8029AS;"* Complies with IEEE802.3 10Base-2/T Standard<br>
* Support full-duplex mode for TP port<br>
* Plug and Play, NE-2000 compatible<br>
* Optional Boot ROM<br>
* I/O address defined by PCsytem BIOS<br>
* PCI System complies with PCI Spec. 2.0/2.1<br>
* Hardware interrupt: PCI interrupt A<br>
* LED for Monitoring operation status<br>
* FCC CLASS A, CE<br>
";pimages/bnr10a31ubthum.jpg;;S008;W008;No;0.2;BayLan;;99;Yes;;Yes;5
4;BNR10A11UB;ISA CARD;59;23;16-bit ISA 10/20 Card  (BNC+UTP) RTL8019AS;"* Complies with IEEE802.3 10Base-2/T Standard.<br>
* Complied with Windows 95 Plug & Play Configuration for Jumperless PnP design<br>
* Full duplex transmission for 20Mbps throughput<br>
* Operate in either 8bit or 16bit slot<br>
* Plug and play, NE-2000 compatible<br>
* With Optional Boot ROM<br>
* LED for Monitoring operation status<br>
* FCC CLASS A, CE<br>";pimages/bnr10a11ub_n_thum.jpg;pimages/bnr10a11ubbig.jpg;S001;W006;No;0.2;BayLan;;99;Yes;;Yes;6
5;BNW11040UB;PCMCIA Card 10Mbps;59;25;PCMCIA 10Mbps (BNC+UTP) Card 2in1 Type II;"* Complies with IEEE 802.3 10Base2/10baseT Ethernet standard<br>
* PCMCIA type II complaint<br>
*NE2000 compatible<br>
* Built-in data buffer: 16KB RAM<br>
* Media coupler support:Both BNC+UTP<BR>
* Diagnostics LED indicators for LINK and ACT<br>
* Menu-driven installation utility and LAN diagnostics program included Support of PC CARD hot swap and insertion<br>
* Interrupt Support: 3,4,5,7,9,10,11,12,15<br>
* I/O Address Support:Any 32 connection I/O space<br>
* CARD and Socket Service Support: PC Card standard Card Service Specification 2.0 and newer<br>
* Power consumption : 5V DC at 1 AMP.Max<br>";pimages/BNW11040UB-S.jpg;pimages/BNW11040UB.jpg;S008;W008;No;0.2;BayLan;;99;Yes;pimages/BNW11040UB-F.gif;No;1
6;BND31040U;PMCIA 10/100 16Bit;59;25;PCMCIA 10/100Mbps Card;" * Complies with IEEE802.3 T & 802.3u standard<br>
 * PCMCIA TYPE II compliant<br>
 * NE2000 compatible with PC Card enabler<br>
 * Built-in data buffer:10M or 100M data rate auto negotiation, 32KB RAM, 32KB RAM<BR>
 * Media coupler support:RJ-45 UTP(10Base T)<br>
 * Diagnostics LED indicators for LINK, ACT & 10/100<BR>
 ,* Menu-driven installation utility and LAN diagnostics program<br>
 * Support of PC CARD hot swap and insertion<br>
, * Interrupt Support: 3,4,5,7,9,10,11,12,15<br>
  * I/O Address Support: Any 32 continuous I/O space CARD and Socket Service Support:PCMCIA PC Card Standard Ver2.0 and newer<br>
 * Power consumption: 5V DC at 250 AMP.Max.<br>
 * FCC CLASS B, CE<BR>";pimages/bnxxx040uthum.jpg;;S008;W008;No;0.2;BayLan;;99;Yes;;No;4
7;BNA32040U;PCMCIA 10/100 CardBus;59;25;PCMCIA 10/100Mbps UTP Card (BUS), ADMtek Chipset;" * Complies with IEEE802.3/802.3u Standard<br>
 * PCMCIA CardBus standard compliant<br>
 * Media Coupler Support:Single RJ45 Phone Jack<br>
 * 32-bit Bus-Mastering data transfer<br>
 * 10Mbps or 100Mbps data rates auto-negotiation<br>
 * Feature full duplex mode that doubles the network connecting speed<br>
 * Diagnostics LED indicators:LINK,ACT,and 10/100M<br>
 * Media coupler support both Category 3/5 (10BaseT) and Category 5 (100BaseTX)<br>
 * Menu-driven installation utility and LAN diagnostics program included<br>
 * PC Card hot swap supported<br>
 * Card and Socket Service Support:<br>
   †† PC Card Standard, Windows NT4.X direct enabler,<br>
    ††DOS/Windows 3.1 direct enabler<br>
 * Power Consumption: +3.3V DC at 380 AMP.Max,<br>
 * FCC CLASS B, CE<BR>";pimages/bnx3x040uthum.jpg;pimages/bnx3x040ubig.jpg;S008;W008;No;0.2;BayLan;;99;Yes;pimages/BNA32040U-F.gif;No;3
8;BND33040U;PCMCIA 10/100 Dangleless CardBus;59;25;10/100Mbps PCMCIA Dangleless Card;"* Complies with IEEE802.3 T & 802.3u standard<br>
 * PCMCIA TYPE II compliant<br>
 * NE2000 compatible with PC Card enabler<br>
 * Built-in data buffer:10M or 100M data rate auto negotiation, 32KB RAM<BR>
 * Diagnostics LED indicators for LINK, ACT & 10/100<BR>
 * Menu-driven installation utility and LAN diagnostics program<br>
 * Support of PC CARD hot swap and insertion<br>
 * Interrupt Support: 3,4,5,7,9,10,11,12,15<br>
  * I/O Address Support: Any 32 continuous I/O space Card and Socket Service Support:PCMCIA PC Card Standard Ver2.0 and newer<br>
 * Power consumption: 5V DC at 250 AMP.Max.<br>
 * FCC CLASS B, CE<BR>";pimages/BND33040U-S.jpg;pimages/BND33040U.jpg;S008;W008;No;0.2;BayLan;;99;Yes;pimages/BND33040U-F.gif;No;2
10;BHT11322U5;5Port 10Mbps Hub;59;26;5Port STP Hub, 10Mbps, WM, Cascade, Ext.PA, Tamarak Chipset, Plastic Case;" * Complies with IEEE802.3 10Base-T Standard<br>
 * Transmission rate : 10Mbps<br>
 * Topology : Tree (backbone and star)<br>
 * Access method : CSMA/CD<BR>
 * Provide up-link port for cascading<br>
 * Plug and play design, no software configuration is required<br>
 * Auto-parition for bad port isolation and auto-recovering.<br>
 * NE-2000 compatible<br>
 * LEDS(Link/activity/partition) for monitoring operation status<br>
 * Plastic case, Palm size design<br>
 * With External Power Supply<br>
 * FCC CLASS A, CE<BR>";;;S008;W008;No;1;BayLan;;99;Yes;;No;1
